id,state,regional_unemployment_rate,regional_median_income,regional_median_rent,housing_price_index,cost_of_living_index,previous_zip_code
105745,NY,5.2,72000,1620.0,148.0,125.0,241
105746,TX,3.9,61000,1410.0,97.0,88.0,353
105747,VA,4.0,74000,1570.0,120.0,98.0,366
105748,TX,4.2,61000,1670.0,106.0,83.0,950
105749,MI,5.4,57000,1460.0,97.0,77.0,827
105750,MI,5.4,57000,1450.0,88.0,79.0,835
105751,VA,3.8,74000,1710.0,120.0,98.0,957
105752,IN,4.2,55000,1370.0,108.0,92.0,890
105753,TX,4.3,61000,1500.0,104.0,86.0,823
105754,IN,3.9,55000,1300.0,90.0,81.0,254
105755,MD,3.8,84000,1910.0,126.0,112.0,283
105756,CA,5.7,75000,1640.0,160.0,131.0,255
105757,MD,3.9,84000,2580.0,128.0,102.0,707
105758,NJ,5.3,82000,2000.0,135.0,111.0,682
105759,IL,5.6,65000,1390.0,98.0,82.0,612
105760,OH,5.0,56000,1240.0,88.0,68.0,343
105761,PA,4.8,61000,1410.0,99.0,80.0,935
105762,IN,4.5,55000,1510.0,102.0,87.0,284
105763,FL,5.1,55000,1240.0,112.0,92.0,713
105764,IN,4.7,55000,1370.0,93.0,84.0,330
105765,CA,5.9,75000,1720.0,154.0,119.0,556
105766,MO,3.7,55000,1330.0,98.0,83.0,241
105767,TX,4.4,61000,1430.0,112.0,94.0,989
105768,GA,4.0,58000,1210.0,100.0,79.0,944
105769,MA,4.2,81000,2200.0,150.0,121.0,910
105770,PA,4.4,61000,1370.0,91.0,85.0,454
105771,WA,5.4,78000,2090.0,150.0,118.0,603
105772,TX,4.6,61000,1520.0,105.0,84.0,270
105773,WA,5.2,78000,1870.0,157.0,127.0,818
105774,TX,4.3,61000,1600.0,110.0,92.0,622
105775,MD,4.1,84000,2150.0,123.0,103.0,706
105776,TX,4.1,61000,1430.0,101.0,80.0,831
105777,GA,3.8,58000,1360.0,104.0,85.0,711
105778,IN,5.0,55000,1140.0,96.0,79.0,102
105779,VA,3.8,74000,1860.0,127.0,107.0,551
105780,OH,4.4,56000,1170.0,81.0,65.0,279
105781,IL,4.9,65000,1410.0,95.0,82.0,470
105782,GA,4.1,58000,1180.0,109.0,79.0,756
105783,MD,4.6,84000,1680.0,128.0,116.0,367
105784,CA,5.6,75000,1880.0,154.0,122.0,681
105785,NC,4.1,54000,1250.0,119.0,95.0,571
105786,TX,3.8,61000,1470.0,113.0,88.0,117
105787,CA,5.7,75000,1740.0,165.0,127.0,516
105788,FL,4.5,55000,1320.0,118.0,91.0,445
105789,FL,4.2,55000,1440.0,104.0,86.0,692
105790,NC,4.1,54000,1220.0,117.0,96.0,860
105791,PA,4.6,61000,1380.0,93.0,77.0,276
105792,NJ,5.0,82000,1930.0,128.0,114.0,488
105793,CA,5.5,75000,1850.0,165.0,124.0,494
105794,FL,4.7,55000,1370.0,118.0,99.0,403
105795,CA,5.4,75000,1740.0,164.0,128.0,160
105796,CA,5.2,75000,1880.0,165.0,133.0,647
105797,FL,4.6,55000,1470.0,102.0,82.0,869
105798,NJ,4.6,82000,1770.0,124.0,107.0,437
105799,FL,5.0,55000,1250.0,118.0,92.0,166
105800,TX,4.2,61000,1540.0,104.0,73.0,758
105801,IN,4.5,55000,1360.0,91.0,84.0,475
105802,CA,5.7,75000,1800.0,156.0,132.0,210
105803,TX,3.7,61000,1260.0,104.0,93.0,766
105804,GA,3.6,58000,1600.0,106.0,87.0,628
105805,CA,5.6,75000,1830.0,159.0,139.0,861
105806,CA,6.0,75000,1580.0,163.0,120.0,252
105807,TX,4.1,61000,1490.0,105.0,95.0,260
105808,FL,4.7,55000,1230.0,110.0,90.0,174
105809,MA,4.5,81000,1670.0,149.0,119.0,449
105810,CA,5.4,75000,1620.0,159.0,127.0,603
105811,NY,4.8,72000,2130.0,145.0,121.0,249
105812,CA,5.3,75000,1890.0,156.0,121.0,778
105813,CA,5.3,75000,1880.0,163.0,129.0,187
105814,WA,4.7,78000,2090.0,158.0,128.0,822
105815,NC,4.6,54000,1190.0,114.0,91.0,523
105816,NY,5.1,72000,1540.0,138.0,109.0,313
105817,NJ,5.5,82000,1780.0,130.0,108.0,370
105818,WI,4.4,60000,1360.0,103.0,89.0,928
105819,IL,5.2,65000,1660.0,102.0,89.0,104
105820,TN,3.9,53000,1380.0,99.0,80.0,623
105821,GA,4.7,58000,1240.0,111.0,87.0,491
105822,CA,6.0,75000,1850.0,170.0,127.0,148
105823,FL,5.2,55000,1290.0,117.0,86.0,451
105824,AZ,4.3,58000,1280.0,115.0,91.0,845
105825,IL,5.6,65000,1440.0,92.0,76.0,592
105826,PA,4.0,61000,1450.0,93.0,86.0,964
105827,OH,5.4,56000,1330.0,91.0,80.0,743
105828,TX,4.3,61000,1350.0,109.0,86.0,399
105829,IN,3.9,55000,1330.0,102.0,79.0,293
105830,FL,4.5,55000,1490.0,117.0,93.0,331
105831,FL,4.6,55000,1340.0,122.0,90.0,521
105832,OH,4.8,56000,1320.0,77.0,72.0,953
105833,TN,3.7,53000,1110.0,109.0,85.0,472
105834,TX,3.9,61000,1430.0,108.0,90.0,419
105835,MD,4.4,84000,2420.0,137.0,123.0,523
105836,GA,4.2,58000,1540.0,98.0,84.0,318
105837,FL,4.9,55000,1250.0,114.0,95.0,746
105838,CA,6.0,75000,1710.0,168.0,129.0,497
105839,WA,4.5,78000,1980.0,157.0,126.0,149
105840,TX,4.5,61000,1350.0,104.0,84.0,445
105841,IL,5.8,65000,1420.0,101.0,82.0,262
105842,CA,5.6,75000,1770.0,151.0,121.0,781
105843,TX,4.0,61000,1370.0,103.0,88.0,808
105844,OH,4.4,56000,1530.0,94.0,85.0,536
105845,PA,4.6,61000,1510.0,95.0,81.0,525
105846,CA,5.6,75000,1810.0,161.0,135.0,362
105847,NC,3.9,54000,1250.0,107.0,91.0,591
105848,MI,5.5,57000,1500.0,97.0,85.0,293
105849,MO,4.0,55000,1360.0,83.0,71.0,545
105850,PA,4.2,61000,1510.0,95.0,86.0,313
105851,OH,5.0,56000,1450.0,92.0,77.0,951
105852,TN,3.8,53000,1250.0,114.0,88.0,887
105853,TX,4.2,61000,1440.0,102.0,84.0,229
105854,MD,4.2,84000,2300.0,134.0,118.0,890
105855,CA,5.5,75000,2010.0,164.0,126.0,272
105856,IL,5.3,65000,1350.0,99.0,87.0,659
105857,CA,5.7,75000,1820.0,160.0,133.0,134
105858,WI,4.4,60000,1500.0,99.0,80.0,567
105859,OH,4.6,56000,1380.0,86.0,83.0,447
105860,WI,4.7,60000,1430.0,113.0,91.0,232
105861,NY,5.2,72000,1440.0,132.0,109.0,710
105862,CA,5.2,75000,1650.0,152.0,137.0,734
105863,OH,5.2,56000,1640.0,90.0,74.0,419
105864,CA,5.4,75000,1770.0,162.0,119.0,393
105865,VA,4.3,74000,1860.0,120.0,98.0,251
105866,IN,4.7,55000,1460.0,98.0,76.0,917
105867,TN,4.1,53000,1090.0,110.0,87.0,424
105868,CA,5.6,75000,1850.0,166.0,125.0,304
105869,WI,4.2,60000,1510.0,97.0,81.0,867
105870,NC,4.2,54000,1710.0,102.0,88.0,909
105871,CA,5.2,75000,1860.0,159.0,132.0,903
105872,MI,5.5,57000,1260.0,101.0,78.0,206
105873,CA,5.5,75000,1670.0,169.0,140.0,518
105874,IL,5.4,65000,1710.0,105.0,78.0,677
105875,NJ,5.2,82000,1780.0,140.0,119.0,562
105876,AZ,4.6,58000,1540.0,122.0,100.0,887
105877,FL,4.7,55000,1180.0,122.0,94.0,298
105878,FL,4.3,55000,1290.0,119.0,90.0,916
105879,MD,4.6,84000,2410.0,135.0,114.0,951
105880,GA,4.5,58000,1650.0,108.0,84.0,695
105881,MD,4.5,84000,2260.0,125.0,110.0,925
105882,NY,5.0,72000,1980.0,135.0,102.0,321
105883,MD,4.1,84000,1880.0,124.0,110.0,465
105884,WA,5.0,78000,1830.0,158.0,123.0,676
105885,TX,4.0,61000,1470.0,106.0,87.0,807
105886,NY,5.1,72000,1640.0,140.0,112.0,895
105887,TX,4.1,61000,1630.0,102.0,83.0,186
105888,NY,4.8,72000,1680.0,145.0,121.0,637
105889,TN,4.3,53000,1370.0,96.0,82.0,793
105890,TX,3.7,61000,1480.0,108.0,92.0,243
105891,IL,5.0,65000,1580.0,99.0,92.0,346
105892,CA,5.8,75000,1750.0,158.0,137.0,204
105893,NY,5.0,72000,1490.0,149.0,117.0,636
105894,FL,4.4,55000,1470.0,111.0,85.0,161
105895,NC,4.1,54000,1190.0,112.0,84.0,258
105896,NY,5.4,72000,1590.0,130.0,105.0,441
105897,AZ,4.5,58000,1450.0,110.0,78.0,645
105898,FL,5.1,55000,1380.0,116.0,85.0,734
105899,TX,4.4,61000,1690.0,108.0,92.0,521
105900,TX,3.9,61000,1440.0,104.0,84.0,729
105901,WI,4.4,60000,1440.0,97.0,85.0,588
105902,NC,4.3,54000,1310.0,105.0,75.0,771
105903,IL,5.6,65000,1550.0,104.0,87.0,517
105904,TX,3.9,61000,1490.0,104.0,84.0,223
105905,TX,3.9,61000,1330.0,113.0,90.0,481
105906,NY,4.8,72000,1910.0,135.0,104.0,498
105907,TX,4.5,61000,1340.0,99.0,87.0,102
105908,CA,5.4,75000,1590.0,157.0,124.0,412
105909,OH,4.8,56000,1260.0,90.0,75.0,176
105910,CA,5.6,75000,1720.0,163.0,114.0,890
105911,FL,4.7,55000,1130.0,118.0,97.0,618
105912,PA,4.5,61000,1440.0,89.0,87.0,609
105913,AZ,5.2,58000,1200.0,114.0,86.0,903
105914,MD,4.8,84000,1850.0,120.0,99.0,101
105915,TN,3.8,53000,1100.0,98.0,77.0,707
105916,FL,4.8,55000,1450.0,112.0,84.0,280
105917,FL,5.4,55000,1170.0,110.0,85.0,704
105918,VA,4.0,74000,1810.0,138.0,120.0,648
105919,FL,4.8,55000,1490.0,115.0,96.0,563
105920,TN,3.7,53000,1160.0,107.0,92.0,165
105921,AZ,4.4,58000,1390.0,117.0,100.0,819
105922,GA,4.0,58000,1490.0,100.0,81.0,108
105923,IN,4.1,55000,1250.0,97.0,85.0,519
105924,MI,5.2,57000,1180.0,91.0,77.0,502
105925,CA,5.5,75000,1850.0,156.0,120.0,909
105926,MD,4.5,84000,1700.0,140.0,112.0,662
105927,FL,4.8,55000,1350.0,115.0,94.0,137
105928,WI,4.0,60000,1390.0,100.0,85.0,546
105929,GA,3.9,58000,1300.0,99.0,82.0,463
105930,IN,4.2,55000,1300.0,96.0,89.0,356
105931,VA,3.3,74000,1560.0,132.0,119.0,964
105932,WA,5.1,78000,1820.0,155.0,135.0,409
105933,NY,4.7,72000,2060.0,138.0,112.0,556
105934,OH,4.5,56000,1280.0,95.0,88.0,652
105935,CA,5.3,75000,1750.0,158.0,119.0,578
105936,NJ,5.2,82000,1930.0,132.0,102.0,196
105937,TX,4.5,61000,1580.0,100.0,81.0,199
105938,MI,6.0,57000,1300.0,93.0,83.0,841
105939,WI,4.2,60000,1310.0,95.0,71.0,885
105940,FL,5.3,55000,1390.0,126.0,100.0,270
105941,MI,5.2,57000,1460.0,97.0,83.0,242
105942,CA,5.1,75000,1680.0,154.0,115.0,597
105943,FL,4.6,55000,1420.0,116.0,79.0,357
105944,WA,5.0,78000,1940.0,152.0,115.0,759
105945,FL,4.7,55000,1160.0,107.0,84.0,353
105946,NC,4.6,54000,1250.0,107.0,86.0,428
105947,AZ,4.1,58000,1240.0,111.0,88.0,775
105948,TX,4.1,61000,1410.0,101.0,81.0,846
105949,TX,4.1,61000,1520.0,104.0,87.0,501
105950,IN,4.3,55000,1410.0,94.0,78.0,127
105951,TX,4.7,61000,1420.0,96.0,77.0,568
105952,FL,4.8,55000,1100.0,121.0,88.0,617
105953,CA,5.9,75000,1770.0,162.0,121.0,290
105954,MD,4.7,84000,2000.0,123.0,107.0,934
105955,MD,4.4,84000,2050.0,121.0,107.0,415
105956,TX,3.8,61000,1500.0,104.0,95.0,490
105957,TN,3.6,53000,1080.0,105.0,79.0,313
105958,FL,5.2,55000,1400.0,110.0,87.0,335
105959,VA,3.9,74000,1780.0,125.0,106.0,820
105960,PA,4.5,61000,1380.0,100.0,93.0,942
105961,MA,4.9,81000,1940.0,141.0,111.0,383
105962,TX,4.4,61000,1480.0,102.0,86.0,214
105963,TX,4.5,61000,1410.0,111.0,96.0,256
105964,PA,4.6,61000,1260.0,94.0,82.0,215
105965,MA,4.4,81000,1930.0,140.0,124.0,460
105966,AZ,4.8,58000,1330.0,116.0,90.0,542
105967,PA,4.7,61000,1470.0,89.0,80.0,785
105968,OH,4.5,56000,1420.0,84.0,82.0,946
105969,OH,5.0,56000,1260.0,87.0,74.0,624
105970,OH,4.8,56000,1400.0,89.0,69.0,594
105971,CA,5.6,75000,1840.0,162.0,131.0,346
105972,MO,4.7,55000,1240.0,96.0,81.0,164
105973,NY,4.8,72000,1690.0,137.0,107.0,698
105974,CA,5.4,75000,1890.0,159.0,118.0,655
105975,TX,4.7,61000,1510.0,101.0,83.0,329
105976,OH,4.8,56000,1300.0,84.0,68.0,327
105977,TN,3.6,53000,1410.0,105.0,87.0,534
105978,TX,3.9,61000,1340.0,103.0,79.0,738
105979,PA,4.7,61000,1490.0,95.0,93.0,478
105980,OH,4.9,56000,1320.0,88.0,72.0,743
105981,CA,5.7,75000,2000.0,154.0,128.0,820
105982,CA,5.6,75000,1930.0,154.0,122.0,109
105983,NY,4.9,72000,1830.0,132.0,118.0,456
105984,MD,4.5,84000,1910.0,134.0,103.0,965
105985,NC,3.9,54000,1240.0,109.0,88.0,499
105986,TX,4.4,61000,1590.0,112.0,96.0,932
105987,PA,4.3,61000,1640.0,95.0,92.0,158
105988,VA,3.6,74000,1820.0,123.0,99.0,651
105989,NJ,5.3,82000,1780.0,136.0,120.0,765
105990,MO,3.8,55000,1040.0,98.0,85.0,211
105991,IN,4.4,55000,1440.0,94.0,73.0,230
105992,CA,5.6,75000,1730.0,165.0,130.0,480
105993,TX,4.3,61000,1280.0,105.0,93.0,325
105994,NC,4.5,54000,1110.0,113.0,86.0,538
105995,FL,4.9,55000,1560.0,106.0,90.0,142
105996,PA,4.3,61000,1150.0,94.0,75.0,429
105997,MO,3.9,55000,1400.0,96.0,80.0,922
105998,WI,4.5,60000,1490.0,99.0,89.0,971
105999,OH,4.5,56000,1160.0,84.0,83.0,594
106000,AZ,4.6,58000,1430.0,107.0,80.0,533
106001,PA,4.3,61000,1550.0,88.0,70.0,117
106002,FL,4.7,55000,1210.0,115.0,93.0,617
106003,MD,4.6,84000,2000.0,131.0,113.0,135
106004,TN,4.0,53000,1260.0,111.0,89.0,816
106005,WI,3.9,60000,1520.0,105.0,92.0,761
106006,TN,3.9,53000,1180.0,113.0,83.0,319
106007,FL,4.6,55000,1540.0,116.0,103.0,795
106008,FL,4.5,55000,1250.0,124.0,98.0,970
106009,NJ,4.8,82000,1780.0,139.0,118.0,664
106010,IN,4.0,55000,1190.0,97.0,83.0,195
106011,AZ,4.3,58000,1100.0,110.0,92.0,651
106012,NY,4.7,72000,1720.0,143.0,121.0,922
106013,FL,4.8,55000,1400.0,118.0,95.0,775
106014,WA,4.7,78000,1550.0,154.0,119.0,720
106015,FL,4.5,55000,1550.0,122.0,101.0,923
106016,NC,4.6,54000,1180.0,107.0,82.0,523
106017,TX,4.3,61000,1610.0,94.0,74.0,364
106018,TN,4.3,53000,1230.0,102.0,84.0,325
106019,NY,4.9,72000,1900.0,146.0,121.0,787
106020,MI,5.0,57000,1210.0,101.0,82.0,842
106021,AZ,4.3,58000,1190.0,124.0,101.0,248
106022,CA,5.4,75000,1620.0,160.0,129.0,176
106023,FL,4.8,55000,1420.0,118.0,107.0,722
106024,NY,5.1,72000,1880.0,145.0,118.0,793
106025,GA,3.8,58000,1500.0,108.0,98.0,147
106026,NJ,5.0,82000,2050.0,130.0,104.0,550
106027,MA,4.4,81000,1810.0,145.0,121.0,727
106028,IN,4.7,55000,1370.0,99.0,83.0,354
106029,PA,4.5,61000,1170.0,91.0,80.0,753
106030,NJ,4.9,82000,1810.0,139.0,111.0,746
106031,IL,5.2,65000,1510.0,98.0,76.0,973
106032,NY,4.2,72000,1680.0,128.0,102.0,250
106033,NJ,5.2,82000,2190.0,140.0,117.0,908
106034,MA,4.1,81000,1920.0,142.0,126.0,210
106035,MD,4.4,84000,1830.0,126.0,113.0,400
106036,AZ,4.7,58000,1500.0,121.0,99.0,816
106037,NC,4.2,54000,1240.0,117.0,91.0,314
106038,MI,5.7,57000,1310.0,94.0,79.0,765
106039,FL,5.2,55000,1320.0,120.0,94.0,661
106040,OH,4.3,56000,1440.0,93.0,83.0,971
106041,GA,4.0,58000,1400.0,105.0,91.0,901
106042,OH,4.7,56000,1300.0,83.0,77.0,424
106043,VA,3.5,74000,1890.0,127.0,103.0,508
106044,WI,3.7,60000,1310.0,102.0,90.0,279
106045,MD,4.3,84000,2010.0,131.0,109.0,442
106046,FL,5.4,55000,1200.0,115.0,93.0,372
106047,NY,5.6,72000,1880.0,141.0,111.0,948
106048,CA,5.7,75000,1680.0,159.0,129.0,400
106049,NC,4.4,54000,1350.0,113.0,81.0,699
106050,VA,3.4,74000,1810.0,124.0,106.0,102
106051,NC,4.5,54000,1430.0,108.0,83.0,138
106052,MA,4.1,81000,1840.0,152.0,123.0,566
106053,CA,5.2,75000,2060.0,168.0,125.0,219
106054,TX,4.2,61000,1510.0,102.0,89.0,964
106055,GA,3.9,58000,1440.0,102.0,83.0,526
106056,IN,3.6,55000,1540.0,95.0,82.0,107
106057,PA,4.9,61000,1680.0,98.0,81.0,704
106058,CA,5.5,75000,1660.0,164.0,133.0,117
106059,CA,5.9,75000,1740.0,154.0,124.0,935
106060,NJ,5.1,82000,2280.0,141.0,117.0,442
106061,IL,5.0,65000,1470.0,96.0,83.0,222
106062,PA,4.7,61000,1320.0,95.0,93.0,895
106063,NY,4.6,72000,1410.0,141.0,109.0,815
106064,IL,5.3,65000,1390.0,101.0,86.0,188
106065,MO,4.4,55000,1570.0,99.0,86.0,662
106066,PA,4.8,61000,1410.0,97.0,89.0,697
106067,TX,3.8,61000,1470.0,99.0,85.0,810
106068,FL,4.8,55000,1350.0,121.0,97.0,463
106069,MI,5.2,57000,1450.0,92.0,82.0,218
106070,WI,4.6,60000,1150.0,105.0,86.0,212
106071,FL,4.5,55000,1260.0,106.0,82.0,174
106072,TN,4.0,53000,1490.0,103.0,87.0,722
106073,GA,4.3,58000,1210.0,104.0,86.0,626
106074,NC,4.3,54000,1140.0,107.0,89.0,628
106075,WI,4.2,60000,1480.0,94.0,85.0,676
106076,CA,5.9,75000,2010.0,170.0,140.0,582
106077,WA,4.9,78000,2220.0,159.0,132.0,221
106078,NJ,4.5,82000,1810.0,133.0,110.0,651
106079,MA,4.4,81000,2020.0,151.0,127.0,881
106080,CA,5.2,75000,1880.0,162.0,137.0,430
106081,TX,4.3,61000,1500.0,107.0,91.0,182
106082,TX,4.4,61000,1660.0,112.0,90.0,425
106083,NJ,4.9,82000,1950.0,136.0,109.0,421
106084,WI,3.6,60000,1420.0,105.0,86.0,883
106085,MI,5.1,57000,1180.0,96.0,81.0,444
106086,IN,4.4,55000,1450.0,96.0,80.0,544
106087,MI,5.0,57000,1130.0,101.0,78.0,864
106088,OH,4.9,56000,1230.0,97.0,83.0,858
106089,WA,4.8,78000,1740.0,158.0,118.0,752
106090,NY,4.9,72000,1930.0,143.0,116.0,378
106091,CA,5.4,75000,1760.0,159.0,126.0,873
106092,VA,3.5,74000,1680.0,124.0,104.0,760
106093,FL,4.9,55000,1220.0,120.0,93.0,307
106094,PA,4.7,61000,1490.0,94.0,88.0,323
106095,CA,5.7,75000,1890.0,162.0,129.0,901
106096,FL,4.8,55000,1440.0,111.0,102.0,840
106097,TX,4.1,61000,1600.0,105.0,88.0,942
106098,MI,5.1,57000,1220.0,100.0,89.0,742
106099,OH,4.7,56000,1330.0,89.0,67.0,797
106100,GA,3.8,58000,1480.0,114.0,93.0,710
106101,AZ,5.2,58000,1490.0,106.0,86.0,839
106102,IN,4.5,55000,1140.0,94.0,79.0,572
106103,NC,4.2,54000,1330.0,108.0,81.0,183
106104,MA,4.0,81000,1750.0,140.0,114.0,918
106105,PA,4.9,61000,1330.0,92.0,79.0,726
106106,TN,3.9,53000,1300.0,100.0,78.0,934
106107,NY,4.8,72000,1550.0,141.0,122.0,243
106108,TX,4.2,61000,1230.0,109.0,84.0,377
106109,FL,4.6,55000,1170.0,116.0,99.0,740
106110,FL,4.4,55000,1450.0,111.0,79.0,203
106111,FL,4.8,55000,1390.0,111.0,85.0,137
106112,WI,3.7,60000,1300.0,99.0,84.0,458
106113,TX,4.2,61000,1580.0,103.0,90.0,402
106114,CA,6.1,75000,1620.0,159.0,126.0,338
106115,CA,5.3,75000,1920.0,154.0,120.0,796
106116,FL,5.0,55000,1220.0,115.0,94.0,690
106117,IL,5.1,65000,1880.0,98.0,78.0,424
106118,TX,4.5,61000,1410.0,114.0,105.0,142
106119,IN,4.5,55000,1300.0,96.0,84.0,314
106120,CA,5.5,75000,1800.0,155.0,127.0,232
106121,NY,4.8,72000,1820.0,143.0,121.0,831
106122,FL,5.1,55000,1200.0,116.0,79.0,514
106123,IL,5.4,65000,1630.0,101.0,84.0,734
106124,MA,4.2,81000,2270.0,135.0,112.0,962
106125,TX,5.0,61000,1640.0,109.0,91.0,131
106126,MO,4.4,55000,1440.0,98.0,81.0,400
106127,WI,4.3,60000,1540.0,92.0,72.0,480
106128,NY,4.8,72000,1760.0,131.0,110.0,824
106129,NY,5.1,72000,2040.0,145.0,116.0,993
106130,IL,5.6,65000,1590.0,106.0,81.0,140
106131,NY,5.0,72000,1650.0,143.0,117.0,604
106132,WA,5.2,78000,2170.0,154.0,126.0,842
106133,NY,5.4,72000,1500.0,140.0,110.0,941
106134,WA,4.9,78000,1740.0,160.0,118.0,853
106135,CA,6.0,75000,1740.0,159.0,130.0,509
106136,OH,5.0,56000,1120.0,89.0,84.0,803
106137,FL,4.6,55000,1270.0,113.0,88.0,765
106138,VA,4.0,74000,1630.0,120.0,99.0,568
106139,VA,3.7,74000,1490.0,133.0,100.0,710
106140,TX,3.9,61000,1480.0,103.0,82.0,576
106141,VA,3.5,74000,1660.0,135.0,119.0,625
106142,CA,5.7,75000,1760.0,152.0,134.0,308
106143,CA,5.9,75000,1800.0,155.0,124.0,126
106144,TX,4.3,61000,1340.0,112.0,97.0,980
106145,CA,5.5,75000,1740.0,162.0,122.0,257
106146,VA,3.9,74000,2000.0,120.0,103.0,459
106147,CA,5.6,75000,1790.0,162.0,121.0,751
106148,NY,5.4,72000,1510.0,142.0,108.0,553
106149,PA,4.1,61000,1680.0,97.0,81.0,709
106150,CA,5.5,75000,2000.0,157.0,125.0,809
106151,NC,3.9,54000,1140.0,110.0,83.0,135
106152,MA,4.3,81000,1800.0,154.0,125.0,562
106153,PA,4.3,61000,1620.0,94.0,83.0,813
106154,TN,4.2,53000,1370.0,110.0,85.0,145
106155,NY,5.4,72000,1980.0,134.0,106.0,535
106156,OH,4.5,56000,1340.0,94.0,80.0,842
106157,NY,4.7,72000,1750.0,146.0,113.0,227
106158,WI,4.4,60000,1410.0,98.0,91.0,468
106159,TX,4.7,61000,1520.0,114.0,89.0,224
106160,FL,5.2,55000,1170.0,116.0,87.0,288
106161,WI,3.9,60000,1330.0,90.0,71.0,643
106162,NJ,5.4,82000,1870.0,133.0,107.0,198
106163,MD,4.4,84000,1840.0,131.0,117.0,531
106164,TX,4.7,61000,1800.0,107.0,87.0,215
106165,IL,4.8,65000,1530.0,93.0,83.0,859
106166,TN,3.9,53000,1230.0,108.0,87.0,164
106167,CA,5.2,75000,1700.0,163.0,120.0,538
106168,IL,5.5,65000,1540.0,101.0,87.0,313
106169,TX,5.1,61000,1320.0,104.0,91.0,520
106170,NY,4.9,72000,1990.0,136.0,118.0,774
106171,NY,4.8,72000,1970.0,139.0,112.0,452
106172,PA,4.4,61000,1300.0,93.0,72.0,467
106173,AZ,4.5,58000,1540.0,110.0,90.0,750
106174,NC,4.1,54000,1300.0,106.0,90.0,881
106175,NY,4.7,72000,1510.0,135.0,110.0,783
106176,CA,5.2,75000,1890.0,159.0,137.0,951
106177,CA,5.5,75000,1650.0,154.0,120.0,574
106178,MO,4.3,55000,1190.0,95.0,74.0,726
106179,MA,4.2,81000,1970.0,150.0,121.0,254
106180,OH,4.6,56000,1410.0,94.0,87.0,467
106181,WI,4.0,60000,1420.0,103.0,84.0,865
106182,WA,5.0,78000,1980.0,162.0,127.0,764
106183,NY,5.4,72000,1780.0,138.0,110.0,690
106184,CA,6.0,75000,1710.0,166.0,135.0,898
106185,FL,4.5,55000,1280.0,115.0,99.0,785
106186,MD,4.3,84000,2180.0,128.0,118.0,707
106187,CA,5.1,75000,2030.0,157.0,113.0,435
106188,VA,3.9,74000,1620.0,118.0,100.0,201
106189,NY,4.7,72000,1700.0,148.0,114.0,606
106190,PA,4.6,61000,1460.0,96.0,85.0,776
106191,NY,5.3,72000,1600.0,149.0,125.0,158
106192,IN,4.1,55000,1240.0,94.0,66.0,155
106193,WI,4.0,60000,1380.0,99.0,82.0,508
106194,NY,5.0,72000,1840.0,137.0,113.0,986
106195,MD,3.9,84000,2010.0,126.0,114.0,244
106196,NY,4.9,72000,1820.0,137.0,112.0,919
106197,GA,4.3,58000,1310.0,106.0,91.0,889
106198,TX,4.4,61000,1390.0,100.0,83.0,760
106199,MO,4.2,55000,1040.0,98.0,87.0,102
106200,FL,4.8,55000,1120.0,108.0,87.0,318
106201,GA,3.7,58000,1360.0,110.0,91.0,405
106202,NY,5.1,72000,1810.0,150.0,113.0,570
106203,TN,4.0,53000,1430.0,103.0,85.0,606
106204,NY,4.9,72000,1760.0,143.0,111.0,141
106205,GA,3.6,58000,1220.0,110.0,82.0,474
106206,VA,4.3,74000,1640.0,123.0,88.0,962
106207,CA,5.8,75000,1920.0,149.0,114.0,146
106208,TX,3.8,61000,1320.0,101.0,85.0,600
106209,FL,4.3,55000,1230.0,121.0,96.0,736
106210,WA,4.8,78000,2020.0,158.0,126.0,955
106211,PA,4.4,61000,1500.0,99.0,88.0,445
106212,NY,4.9,72000,1710.0,134.0,114.0,668
106213,NY,5.2,72000,1550.0,141.0,111.0,565
106214,OH,4.6,56000,1200.0,95.0,75.0,574
106215,OH,4.7,56000,1370.0,85.0,73.0,638
106216,CA,5.9,75000,1610.0,159.0,111.0,556
106217,NJ,5.2,82000,1790.0,132.0,104.0,816
106218,NY,5.0,72000,1760.0,138.0,103.0,241
106219,AZ,4.5,58000,1490.0,110.0,96.0,582
106220,MA,3.8,81000,1890.0,141.0,104.0,198
106221,NC,4.0,54000,1240.0,110.0,92.0,634
106222,WA,4.8,78000,1870.0,156.0,126.0,619
106223,NY,5.3,72000,1880.0,142.0,117.0,169
106224,TX,4.3,61000,1560.0,104.0,89.0,181
106225,MD,4.8,84000,2030.0,138.0,117.0,721
106226,FL,5.2,55000,1320.0,111.0,89.0,503
106227,MA,4.2,81000,1800.0,138.0,120.0,769
106228,AZ,4.3,58000,1380.0,114.0,91.0,539
106229,GA,3.9,58000,1620.0,99.0,80.0,111
106230,TN,4.2,53000,1460.0,97.0,81.0,150
106231,IN,4.8,55000,1410.0,97.0,77.0,304
106232,MA,4.7,81000,1680.0,144.0,108.0,259
106233,NC,4.1,54000,1190.0,98.0,93.0,861
106234,GA,4.0,58000,1410.0,97.0,79.0,622
106235,MO,4.1,55000,1300.0,96.0,81.0,333
106236,CA,6.0,75000,1720.0,148.0,121.0,489
106237,NY,4.5,72000,1590.0,143.0,112.0,886
106238,NC,4.0,54000,1370.0,98.0,83.0,411
106239,FL,4.9,55000,1180.0,116.0,91.0,223
106240,WA,4.7,78000,1840.0,153.0,122.0,171
